? Hugging Face token is set.
wandb token is set
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'j' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'h' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'h' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'j' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'h' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'i' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'i' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'h' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'h' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'i' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'h' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'h' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'h' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'h' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'h' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'h' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'i' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'k' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'h' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'g' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'j' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'h' not in options: ['a', 'b', 'c', 'd', 'e']
Skipping invalid MCQ answer: 'f' not in options: ['a', 'b', 'c', 'd', 'e']
